"sampleID","subgroup1","subgroup2","prob1","prob2"
"TCGA.GN.A4U3","4","3","0.8588211536407471","0.08051194995641708"
"TCGA.GN.A9SD","3","2","0.8827105164527893","0.1135001927614212"
"TCGA.HR.A2OG","3","1","0.6542051434516907","0.32275450229644775"
"TCGA.OD.A75X","4","2","0.8889825940132141","0.11089600622653961"
"TCGA.QB.AA9O","2","3","0.9105559587478638","0.0747637078166008"
"TCGA.RP.A690","4","3","0.5568503737449646","0.43613502383232117"
"TCGA.W3.A825","1","3","0.8512861728668213","0.0999714657664299"
"TCGA.W3.A828","1","4","0.8748680949211121","0.05295926332473755"
"TCGA.W3.AA1Q","3","2","0.8447506427764893","0.1397523134946823"
"TCGA.W3.AA1R","2","1","0.8613849878311157","0.09068015217781067"
"TCGA.W3.AA1V","4","2","0.8258894085884094","0.13363584876060486"
"TCGA.W3.AA21","2","4","0.889285147190094","0.06299152225255966"
"TCGA.WE.A8JZ","3","1","0.7670716643333435","0.1872730553150177"
"TCGA.WE.A8K6","4","3","0.7714377641677856","0.15491831302642822"
"TCGA.WE.A8ZM","3","1","0.6468785405158997","0.28930965065956116"
"TCGA.WE.A8ZO","3","2","0.600551187992096","0.3823987543582916"
"TCGA.WE.A8ZR","2","3","0.7805382609367371","0.14779992401599884"
"TCGA.WE.AA9Y","3","1","0.6079554557800293","0.3508231043815613"
"TCGA.WE.AAA4","2","3","0.5631228089332581","0.3999541103839874"
"TCGA.YD.A9TA","3","1","0.6563643217086792","0.29730162024497986"
"TCGA.YD.A9TB","3","1","0.8146162629127502","0.15379653871059418"
"TCGA.YG.AA3O","3","1","0.865965723991394","0.12949031591415405"
"TCGA.YG.AA3P","4","3","0.7871803641319275","0.13967007398605347"
"TCGA.IQ.7631","3","1","0.5697489380836487","0.3999321758747101"
"TCGA.EJ.7325","4","3","0.5388583540916443","0.4480408728122711"
"TCGA.EJ.A46F","4","3","0.7172711491584778","0.2789808213710785"
"TCGA.G9.6338","3","4","0.7879642844200134","0.20204366743564606"
"TCGA.G9.6354","4","3","0.5949115753173828","0.40314480662345886"
"TCGA.G9.6362","3","4","0.9138511419296265","0.08340241014957428"
